column_name,prop_na
acc_now_delinq,0
acc_open_past_24mths,0
addr_state,0
all_util,0.97313
annual_inc,0
annual_inc_joint,1
application_type,0
avg_cur_bal,2e-5
bc_open_to_buy,0.00964
bc_util,0.01044
chargeoff_within_12_mths,0
collection_recovery_fee,0
collections_12_mths_ex_med,0
debt_settlement_flag,0
debt_settlement_flag_date,1
deferral_term,1
delinq_2yrs,0
delinq_amnt,0
desc,1
disbursement_method,0
dti,0
dti_joint,1
earliest_cr_line,0
emp_length,0
emp_title,0.06705
funded_amnt,0
funded_amnt_inv,0
grade,0
hardship_amount,1
hardship_dpd,0.99955
hardship_end_date,1
hardship_flag,0
hardship_last_payment_amount,1
hardship_length,1
hardship_loan_status,1
hardship_payoff_balance_amount,1
hardship_reason,1
hardship_start_date,1
hardship_status,1
hardship_type,1
home_ownership,0
id,1
il_util,0.97694
initial_list_status,0
inq_fi,0.97313
inq_last_12m,0.97313
inq_last_6mths,0
installment,0
int_rate,0
issue_d,0
last_credit_pull_d,4e-5
last_pymnt_amnt,0
last_pymnt_d,6.4e-4
loan_amnt,0
loan_status,0
max_bal_bc,0.97313
member_id,1
mo_sin_old_il_acct,0.0362
mo_sin_old_rev_tl_op,0
mo_sin_rcnt_rev_tl_op,0
mo_sin_rcnt_tl,0
mort_acc,0
mths_since_last_delinq,0.49919
mths_since_last_major_derog,0.71995
mths_since_last_record,0.82423
mths_since_rcnt_il,0.97393
mths_since_recent_bc,0.00911
mths_since_recent_bc_dlq,0.74329
mths_since_recent_inq,0.10612
mths_since_recent_revol_delinq,0.64746
next_pymnt_d,1
num_accts_ever_120_pd,0
num_actv_bc_tl,0
num_actv_rev_tl,0
num_bc_sats,0
num_bc_tl,0
num_il_tl,0
num_op_rev_tl,0
num_rev_accts,1e-5
num_rev_tl_bal_gt_0,0
num_sats,0
num_tl_120dpd_2m,0.03824
num_tl_30dpd,0
num_tl_90g_dpd_24m,0
num_tl_op_past_12m,0
open_acc,0
open_acc_6m,0.97313
open_act_il,0.97313
open_il_12m,0.97313
open_il_24m,0.97313
open_rv_12m,0.97313
open_rv_24m,0.97313
orig_projected_additional_accrued_interest,1
out_prncp,0
out_prncp_inv,0
payment_plan_start_date,1
pct_tl_nvr_dlq,1.6e-4
percent_bc_gt_75,0.01034
policy_code,0
pub_rec,0
pub_rec_bankruptcies,0
purpose,0
pymnt_plan,0
recoveries,0
revol_bal,0
revol_bal_joint,1
revol_util,4.1e-4
sec_app_chargeoff_within_12_mths,1
sec_app_collections_12_mths_ex_med,1
sec_app_earliest_cr_line,1
sec_app_inq_last_6mths,1
sec_app_mort_acc,1
sec_app_mths_since_last_major_derog,1
sec_app_num_rev_accts,1
sec_app_open_acc,1
sec_app_open_act_il,1
sec_app_revol_util,1
settlement_amount,1
settlement_date,1
settlement_percentage,1
settlement_status,1
settlement_term,0.99535
sub_grade,0
tax_liens,0
term,0
title,1.2e-4
tot_coll_amt,0
tot_cur_bal,0
tot_hi_cred_lim,0
total_acc,0
total_bal_ex_mort,0
total_bal_il,0.97313
total_bc_limit,0
total_cu_tl,0.97313
total_il_high_credit_limit,0
total_pymnt,0
total_pymnt_inv,0
total_rec_int,0
total_rec_late_fee,0
total_rec_prncp,0
total_rev_hi_lim,0
url,1
verification_status,0
verification_status_joint,1
zip_code,0
